5.569896030317663671e-01 6.415817722488043051e-01 7.261739414658422431e-01 6.210205326285838101e-01
7.827567073389998242e-01 8.673488765560377622e-01 9.519410457730757003e-01 8.847326692417160077e-01
8.434956897310372792e-01 9.280878589480752172e-01 1.012680028165113155e+00 8.900182964017038234e-01
5.327807224777687534e-01 6.173728916948066914e-01 7.019650609118446294e-01 5.360235820288665742e-01
9.198402467127109183e-01 1.004432415929748856e+00 1.089024585146786794e+00 1.085179914616787755e+00
8.962771359177319486e-01 9.808693051347698866e-01 1.065461474351807825e+00 9.422646879447021950e-01
7.043367264684613493e-01 7.889288956854992874e-01 8.735210649025372254e-01 7.708883919495816972e-01
8.227376770168904896e-01 9.073298462339284276e-01 9.919220154509663656e-01 9.166497255539725053e-01
5.861703148376157246e-01 6.707624840546536626e-01 7.553546532716916007e-01 6.938402114250870056e-01
6.668552805707449460e-01 7.514474497877828840e-01 8.360396190048208220e-01 7.101036796096733550e-01
6.196729332923138767e-01 7.042651025093518147e-01 7.888572717263897527e-01 7.570644439926779157e-01
9.278147376858418838e-01 1.012406906902879822e+00 1.096999076119917760e+00 1.000000000000000000e+00
4.909597540548926720e-01 5.755519232719306100e-01 6.601440924889685480e-01 6.185403537304317023e-01
7.421835635430442668e-01 8.267757327600822048e-01 9.113679019771201428e-01 8.438707054279327435e-01
8.598664750934620349e-01 9.444586443104999729e-01 1.029050813527538022e+00 9.756047977231144808e-01
4.683076603034023178e-01 5.528998295204402558e-01 6.374919987374781938e-01 5.723927627566565146e-01
9.045797534461702538e-01 9.891719226632081918e-01 1.073764091880246241e+00 9.325066070339480540e-01
9.119889528699004488e-01 9.965811220869383869e-01 1.081173291303976214e+00 1.035576336653789342e+00
8.779648065172773741e-01 9.625569757343153121e-01 1.047149144951353250e+00 9.949176661923114784e-01
